addee, addor, resnum, remres, remnum, remrem
00, 00, 00, 01, false, false
00, 01, 01, 02, false, false
00, 02, 02, 03, false, false
00, 03, 03, 04, false, false
00, 04, 04, 05, false, false
00, 05, 05, 06, false, false
00, 06, 06, 07, false, false
00, 07, 07, 08, false, false
00, 08, 08, 09, false, false
00, 09, 09, 10, false, false
00, 10, 10, 11, false, false
00, 11, 11, 12, false, false
00, 12, 12, 13, false, false
00, 13, 13, 14, false, false
00, 14, 14, 15, false, false
00, 15, 15, 16, false, false
00, 16, 16, 17, false, false
00, 17, 17, 18, false, false
00, 18, 18, 19, false, false
00, 19, 19, 20, false, false
00, 20, 20, 21, false, false
00, 21, 21, 22, false, false
00, 22, 22, 23, false, false
00, 23, 23, 24, false, false
00, 24, 24, 25, false, false
00, 25, 25, 26, false, false
00, 26, 26, 27, false, false
00, 27, 27, 28, false, false
00, 28, 28, 29, false, false
00, 29, 29, 30, false, false
00, 30, 30, 31, false, false
00, 31, 31, 32, false, false
00, 32, 32, 33, false, false
00, 33, 33, 34, false, false
00, 34, 34, 35, false, false
00, 35, 35, 36, false, false
00, 36, 36, 37, false, false
00, 37, 37, 38, false, false
00, 38, 38, 39, false, false
00, 39, 39, 40, false, false
00, 40, 40, 41, false, false
00, 41, 41, 42, false, false
00, 42, 42, 43, false, false
00, 43, 43, 44, false, false
00, 44, 44, 45, false, false
00, 45, 45, 46, false, false
00, 46, 46, 47, false, false
00, 47, 47, 48, false, false
00, 48, 48, 49, false, false
00, 49, 49, 50, false, false
00, 50, 50, 51, false, false
00, 51, 51, 52, false, false
00, 52, 52, 53, false, false
00, 53, 53, 54, false, false
00, 54, 54, 55, false, false
00, 55, 55, 56, false, false
00, 56, 56, 57, false, false
00, 57, 57, 58, false, false
00, 58, 58, 59, false, false
00, 59, 59, 00, false, true
01, 00, 01, 02, false, false
01, 01, 02, 03, false, false
01, 02, 03, 04, false, false
01, 03, 04, 05, false, false
01, 04, 05, 06, false, false
01, 05, 06, 07, false, false
01, 06, 07, 08, false, false
01, 07, 08, 09, false, false
01, 08, 09, 10, false, false
01, 09, 10, 11, false, false
01, 10, 11, 12, false, false
01, 11, 12, 13, false, false
01, 12, 13, 14, false, false
01, 13, 14, 15, false, false
01, 14, 15, 16, false, false
01, 15, 16, 17, false, false
01, 16, 17, 18, false, false
01, 17, 18, 19, false, false
01, 18, 19, 20, false, false
01, 19, 20, 21, false, false
01, 20, 21, 22, false, false
01, 21, 22, 23, false, false
01, 22, 23, 24, false, false
01, 23, 24, 25, false, false
01, 24, 25, 26, false, false
01, 25, 26, 27, false, false
01, 26, 27, 28, false, false
01, 27, 28, 29, false, false
01, 28, 29, 30, false, false
01, 29, 30, 31, false, false
01, 30, 31, 32, false, false
01, 31, 32, 33, false, false
01, 32, 33, 34, false, false
01, 33, 34, 35, false, false
01, 34, 35, 36, false, false
01, 35, 36, 37, false, false
01, 36, 37, 38, false, false
01, 37, 38, 39, false, false
